year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2018,Nissan,Renault-Nissan,Murano AWD,AWD,STATION WAGON - MID-SIZE,3.5,6,AV7,AV,V,X,11.2,8.4,9.9,29,232
2012,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,A6,A,6,X,13,8.5,10.9,26,251
2012,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.5,9.1,11.5,25,265
2018,Nissan,Renault-Nissan,Pathfinder 4WD,4WD,SUV - SMALL,3.5,6,AV,AV,V,X,12.1,8.9,10.7,26,250
2018,Nissan,Renault-Nissan,Pathfinder 4WD Platinum,4WD,SUV - SMALL,3.5,6,AV,AV,V,X,12.4,9.2,11,26,259
2013,FORD,Ford,TAURUS,2WD,FULL-SIZE,2,4,AS6,A,6,X,10.5,7.4,9.1,31,209
2014,FORD,Ford,TAURUS,2WD,FULL-SIZE,2,4,AS6,A,6,X,10.5,7.3,9.1,31,209
2018,Nissan,Renault-Nissan,Qashqai AWD,AWD,STATION WAGON - SMALL,2,4,AV,AV,V,X,9,7.5,8.4,34,196
2015,FORD,Ford,TAURUS,2WD,FULL-SIZE,2,4,AS6,A,6,X,10.5,7.4,9.1,31,209
2018,Nissan,Renault-Nissan,Rogue AWD,AWD,SUV - SMALL,2.5,4,AV,AV,V,X,9.7,7.4,8.7,32,205
2016,FORD,Ford,TAURUS,2WD,FULL-SIZE,2,4,AS6,A,6,X,11.8,8.1,10.1,28,237
2017,FORD,Ford,TAURUS,2WD,FULL-SIZE,2,4,AS6,A,6,X,11.8,8.1,10.1,28,238
2013,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,12.1,8.2,10.4,27,239
2013,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.1,11.2,14.5,19,232
2014,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,12.1,8.1,10.3,27,237
2014,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17,11.1,14.3,20,229
2015,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,12.2,8.2,10.4,27,239
2018,Nissan,Renault-Nissan,Titan 4WD,4WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,A,7,X,15.2,11.1,13.4,21,315
