year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2017,TOYOTA,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2017,TOYOTA,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2018,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2010,ACURA,Honda,MDX AWD,AWD,SUV - SMALL,3.7,6,AS6,A,6,Z,14.8,11.3,13.2,21,304
2010,ACURA,Honda,RDX AWD TURBO,AWD,SUV - SMALL,2.3,4,AS5,A,5,Z,13.2,10.3,11.9,24,274
2010,ACURA,Honda,RL AWD,AWD,MID-SIZE,3.7,6,AS5,A,5,Z,14.7,10.6,12.9,22,297
2018,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2010,ACURA,Honda,TL AWD,AWD,MID-SIZE,3.7,6,AS5,A,5,Z,13.8,9.6,11.9,24,274
2010,ACURA,Honda,TL AWD,AWD,MID-SIZE,3.7,6,M6,M,6,Z,13.4,9.5,11.6,24,267
2019,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2019,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2012,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,A4,A,4,X,11.3,8,9.8,29,225
2012,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,AS6,A,6,X,11.9,7.6,10,28,230
2015,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,A9,A,9,X,10.2,6.4,8.5,33,196
2015,CHRYSLER,FCA,200,2WD,MID-SIZE,3.6,6,A9,A,9,X,12.4,7.5,10.2,28,235
2010,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.5,6,A4,A,4,X,13.7,9.6,11.9,24,274
2012,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.3,7.6,10.2,28,235
2012,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,AS5,A,5,X,13.2,8.7,11.2,25,258
2013,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.3,7.6,10.2,28,235
2014,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,237
2010,AUDI,VW,A3 QUATTRO,AWD,STATION WAGON - SMALL,2,4,AS6,A,6,Z,11,8.9,10,28,230
2015,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,237
2016,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,240
2010,AUDI,VW,A4 AVANT QUATTRO,AWD,STATION WAGON - SMALL,2,4,AS6,A,6,Z,11.5,8.7,10.2,28,235
2010,AUDI,VW,A4 QUATTRO,AWD,COMPACT,2,4,AS6,A,6,Z,11.5,8.7,10.2,28,235
2010,AUDI,VW,A4 QUATTRO,AWD,COMPACT,2,4,M6,M,6,Z,10.8,7.8,9.4,30,216
2010,AUDI,VW,A5 CABRIOLET QUATTRO,AWD,SUBCOMPACT,2,4,AS6,A,6,Z,11.5,8.9,10.3,27,237
2017,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2018,Chrysler,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2018,Chrysler,FCA,300,2WD,FULL-SIZE,5.7,8,A8,A,8,X,14.7,9.4,12.3,23,289
2019,Chrysler,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2010,AUDI,VW,A6 AVANT QUATTRO,AWD,STATION WAGON - MID-SIZE,3,6,AS6,A,6,Z,13.5,9.5,11.7,24,269
2010,AUDI,VW,A6 QUATTRO,AWD,MID-SIZE,3,6,AS6,A,6,Z,13.5,9.5,11.7,24,269
2010,AUDI,VW,A6 QUATTRO,AWD,MID-SIZE,4.2,8,AS6,A,6,Z,14.7,10.3,12.7,22,292
2019,Chrysler,FCA,300,2WD,FULL-SIZE,5.7,8,A8,A,8,X,14.7,9.4,12.3,23,289
2012,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,8.6,6.8,7.8,36,179
2012,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,7.9,6.2,7.1,40,163
2018,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,9.7,7.4,8.7,32,202
2018,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,8.4,7,7.8,36,182
2019,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,9.7,7.4,8.7,32,203
2019,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,8.5,7.1,7.9,36,186
2012,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,3.7,6,A4,A,4,X,16.7,11.8,14.5,19,334
2015,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.5,11.9,24,274
2017,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17,12,14.8,19,346
2017,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,319
2018,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17,12,14.8,19,346
2018,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,319
2019,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,16.2,10.5,13.6,21,320
2011,BMW,BMW,1 SERIES M COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.7,9.3,11.1,25,255
2017,FIAT,FCA,124 SPIDER,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2010,AUDI,VW,TT COUPE QUATTRO,AWD,SUBCOMPACT,2,4,AS6,A,6,Z,11.1,8.5,9.9,29,228
2010,AUDI,VW,TT ROADSTER QUATTRO,AWD,TWO-SEATER,2,4,AS6,A,6,Z,11.1,8.5,9.9,29,228
2017,FIAT,FCA,124 SPIDER,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2018,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2018,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2019,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2019,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2010,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.8,11,26,253
2010,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.2,10.4,27,239
2011,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,13,8.8,11.1,25,255
2011,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.2,10.4,27,239
2012,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.9,8.8,11,26,253
2012,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.3,10.5,27,242
2013,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.9,8.8,11,26,253
2013,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.3,10.4,27,239
2010,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.2,10.7,26,246
2010,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.2,10.4,27,239
2011,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.3,8.1,10.4,27,239
2011,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.2,10.4,27,239
2012,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.1,10.7,26,246
2012,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.3,10.5,27,242
2013,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.1,10.7,26,246
2013,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.3,10.4,27,239
2010,BMW,BMW,328i xDRIVE,AWD,COMPACT,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE,AWD,COMPACT,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,328i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,328i xDRIVE TOURING,AWD,STATION WAGON - SMALL,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE TOURING,AWD,STATION WAGON - SMALL,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,13.4,9.4,11.6,24,267
2010,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,13.1,9.1,11.3,25,260
2011,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.2,9.3,11.4,25,262
2011,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.5,8.5,10.7,26,246
2012,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.2,9.3,11.4,25,262
2012,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.7,8.6,10.8,26,248
2013,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.3,9.4,11.5,25,265
2010,BMW,BMW,335i xDRIVE,AWD,COMPACT,3,6,A6,A,6,Z,13.8,9.4,11.8,24,271
2010,BMW,BMW,335i xDRIVE,AWD,COMPACT,3,6,M6,M,6,Z,13.6,9.4,11.7,24,269
2010,BMW,BMW,335i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,A6,A,6,Z,13.8,9.4,11.8,24,271
2010,BMW,BMW,335i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,M6,M,6,Z,13.6,9.4,11.7,24,269
2013,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12,8.1,10.3,27,237
2010,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,13.4,9.4,11.6,24,267
2010,BMW,BMW,528i xDRIVE,AWD,MID-SIZE,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,528i xDRIVE,AWD,MID-SIZE,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,13.1,9.1,11.3,25,260
2010,BMW,BMW,535i xDRIVE,AWD,MID-SIZE,3,6,A6,A,6,Z,13.8,9.4,11.8,24,271
2010,BMW,BMW,535i xDRIVE,AWD,MID-SIZE,3,6,M6,M,6,Z,13.6,9.4,11.7,24,269
2010,BMW,BMW,535i xDRIVE TOURING,AWD,STATION WAGON - MID-SIZE,3,6,A6,A,6,Z,14.4,9.7,12.3,23,283
2010,BMW,BMW,535i xDRIVE TOURING,AWD,STATION WAGON - MID-SIZE,3,6,M6,M,6,Z,15.1,10.1,12.8,22,294
2011,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.1,9.3,11.4,25,262
2011,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,11.8,8.3,10.2,28,235
2012,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.1,9.3,11.4,25,262
2012,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,11.8,8.3,10.2,28,235
2013,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.2,9.4,11.5,25,265
2013,BMW,BMW,135i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,11.8,8.3,10.2,28,235
2012,RAM,FCA,1500 (FuelSaver MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17.1,12,14.8,19,340
2013,RAM,FCA,1500 (FuelSaver MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17.1,12,14.8,19,340
2010,BMW,BMW,750i xDRIVE,AWD,FULL-SIZE,4.4,8,A6,A,6,Z,17.1,11.8,14.7,19,338
2013,RAM,FCA,1500 (FuelSaver MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,313
2010,BMW,BMW,750Li xDRIVE,AWD,FULL-SIZE,4.4,8,A6,A,6,Z,17.1,11.8,14.7,19,338
2014,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17.1,12,14.8,19,340
2014,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.8,10.9,13.6,21,313
2015,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17.1,12,14.8,19,340
2015,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,10.9,13.6,21,313
2016,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17.1,12,14.8,19,348
2016,RAM,FCA,1500 (MDS),2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.8,10.9,13.6,21,319
2019,Ram,FCA,1500 Classic,2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17,12,14.8,19,346
2019,Ram,FCA,1500 Classic,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,319
2019,Ram,FCA,1500 Classic EcoDiesel,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.8,8.6,10.4,27,278
2019,Ram,FCA,1500 Classic FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.6,11.9,24,280
2019,Ram,FCA,1500 Classic FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.7,13.8,17,17,283
2014,RAM,FCA,1500 DIESEL,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.6,8.4,10.2,28,275
2015,RAM,FCA,1500 ECODIESEL,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.5,8.4,10.1,28,273
2016,RAM,FCA,1500 ECODIESEL,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.6,8.4,10.2,28,272
2010,BMW,BMW,X3 xDRIVE28i,AWD,SUV - SMALL,3,6,A6,A,6,Z,13.7,9.8,12,24,276
2010,BMW,BMW,X3 xDRIVE28i,AWD,SUV - SMALL,3,6,M6,M,6,Z,14.3,9.8,12.3,23,283
2010,BMW,BMW,X3 xDRIVE30i,AWD,SUV - SMALL,3,6,A6,A,6,Z,13.7,9.8,12,24,276
2010,BMW,BMW,X3 xDRIVE30i,AWD,SUV - SMALL,3,6,M6,M,6,Z,14.3,9.8,12.3,23,283
2017,RAM,FCA,1500 ECODIESEL,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.8,8.6,10.4,27,278
2010,BMW,BMW,X5 xDRIVE30i,AWD,SUV - STANDARD,3,6,A6,A,6,Z,15.2,11,13.3,21,306
2010,BMW,BMW,X5 xDRIVE35d,AWD,SUV - STANDARD,3,6,A6,A,6,D,12.1,8.9,10.7,26,289
2010,BMW,BMW,X5 xDRIVE48i,AWD,SUV - STANDARD,4.8,8,A6,A,6,Z,17.3,12,14.9,19,343
2018,Ram,FCA,1500 EcoDiesel,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.8,8.6,10.4,27,278
2010,BMW,BMW,X6 xDRIVE35i,AWD,SUV - STANDARD,3,6,A6,A,6,Z,16.1,11.8,14.1,20,324
2010,BMW,BMW,X6 xDRIVE50i,AWD,SUV - STANDARD,4.4,8,A6,A,6,Z,18.9,12.9,16.2,17,373
2015,RAM,FCA,1500 ECODIESEL HFE,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.3,8,9.8,29,265
2016,RAM,FCA,1500 ECODIESEL HFE,2WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,11.3,8,9.8,29,264
2019,Ram,FCA,1500 eTorque,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,11.9,9.4,10.8,26,253
2019,Ram,FCA,1500 eTorque,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,14.1,10.3,12.4,23,290
2012,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,4.7,8,A6,A,6,X,16.7,12,14.6,19,336
2012,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,4.7,8,A6,A,6,E,24.1,18.9,21.8,13,349
2010,BUICK,GM,ENCLAVE AWD,AWD,SUV - STANDARD,3.6,6,A6,A,6,X,15,10.6,13,22,299
2013,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.8,9.5,11.9,24,274
2013,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,18.7,13.3,16.3,17,261
2010,BUICK,GM,LACROSSE AWD,AWD,MID-SIZE,3,6,AS6,A,6,X,14.9,9.5,12.5,23,288
2013,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,4.7,8,A6,A,6,X,16.7,12,14.6,19,336
2013,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,4.7,8,A6,A,6,E,24.1,18.9,21.8,13,349
2014,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.5,11.9,24,274
2014,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.4,13.6,16.8,17,269
2015,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.5,11.9,24,274
2015,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.4,13.6,16.8,17,269
2010,CADILLAC,GM,CTS AWD,AWD,MID-SIZE,3,6,AS6,A,6,X,13.4,9.1,11.5,25,265
2010,CADILLAC,GM,CTS AWD,AWD,MID-SIZE,3.6,6,AS6,A,6,X,13.2,8.8,11.2,25,258
2016,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.5,11.9,24,279
2016,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.4,13.6,16.8,17,279
2010,CADILLAC,GM,CTS SPORT WAGON AWD,AWD,STATION WAGON - SMALL,3,6,AS6,A,6,X,13.4,9.1,11.5,25,265
2010,CADILLAC,GM,CTS SPORT WAGON AWD,AWD,STATION WAGON - SMALL,3.6,6,AS6,A,6,X,13.2,8.8,11.2,25,258
2017,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.6,11.9,24,280
2017,RAM,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.7,13.8,17,17,283
2018,Ram,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.6,11.9,24,280
2010,CADILLAC,GM,ESCALADE AWD,AWD,SUV - STANDARD,6.2,8,A6,A,6,Z,17,11.9,14.7,19,338
2010,CADILLAC,GM,ESCALADE AWD,AWD,SUV - STANDARD,6.2,8,A6,A,6,E,23.3,15.5,19.8,14,317
2018,Ram,FCA,1500 FFV,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,19.7,13.8,17,17,283
2010,CADILLAC,GM,SRX AWD,AWD,SUV - STANDARD,2.8,6,AS6,A,6,Z,15.2,10.7,13.2,21,304
2010,CADILLAC,GM,SRX AWD,AWD,SUV - STANDARD,3,6,AS6,A,6,X,13.7,10.4,12.2,23,281
2013,RAM,FCA,1500 HFE,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,12.9,9.3,11.2,25,258
2014,RAM,FCA,1500 HFE,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,12.9,9.3,11.3,25,260
2010,CADILLAC,GM,STS AWD,AWD,MID-SIZE,3.6,6,AS6,A,6,X,13.2,8.8,11.2,25,258
2010,CADILLAC,GM,STS AWD,AWD,MID-SIZE,4.6,8,AS6,A,6,Z,15.9,10.7,13.6,21,313
2015,RAM,FCA,1500 HFE,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,12.9,9.3,11.3,25,260
2016,RAM,FCA,1500 HFE,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,12.9,9.3,11.3,25,264
2019,Ram,FCA,1500 HFE eTorque,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,11.6,9,10.4,27,246
2011,CHRYSLER,FCA,200 CONVERTIBLE,2WD,MID-SIZE,2.4,4,A4,A,4,X,11.7,8.2,10.1,28,232
2011,CHRYSLER,FCA,200 CONVERTIBLE,2WD,MID-SIZE,2.4,4,AS6,A,6,X,13,8.1,10.8,26,248
2012,CHRYSLER,FCA,200 CONVERTIBLE,2WD,MID-SIZE,2.4,4,A4,A,4,X,11.7,8.2,10.1,28,232
2012,CHRYSLER,FCA,200 CONVERTIBLE,2WD,MID-SIZE,2.4,4,AS6,A,6,X,13,8.1,10.8,26,248
2013,CHRYSLER,FCA,200 CONVERTIBLE,2WD,COMPACT,2.4,4,A4,A,4,X,11.7,8.2,10.1,28,232
2013,CHRYSLER,FCA,200 CONVERTIBLE,2WD,COMPACT,2.4,4,A6,A,6,X,13.3,8.7,11.2,25,258
2014,CHRYSLER,FCA,200 CONVERTIBLE,2WD,COMPACT,2.4,4,A4,A,4,X,11.7,8.2,10.1,28,232
2014,CHRYSLER,FCA,200 CONVERTIBLE,2WD,COMPACT,2.4,4,A6,A,6,X,12.9,8.1,10.7,26,246
2011,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,X,12.5,8.1,10.5,27,242
2011,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,E,17,11.2,14.4,20,230
2012,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,X,12.5,8.1,10.5,27,242
2012,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,E,17,11.2,14.4,20,230
2013,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,COMPACT,3.6,6,A6,A,6,X,12.5,8.1,10.5,27,242
2013,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,COMPACT,3.6,6,A6,A,6,E,17,11.2,14.4,20,230
2014,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,COMPACT,3.6,6,A6,A,6,X,12.5,8.1,10.5,27,242
2010,CHEVROLET,GM,COLORADO 4WD,4WD,PICKUP TRUCK - SMALL,2.9,4,A4,A,4,X,13.5,10.1,12,24,276
2010,CHEVROLET,GM,COLORADO 4WD,4WD,PICKUP TRUCK - SMALL,2.9,4,M5,M,5,X,13.2,9.6,11.6,24,267
2010,CHEVROLET,GM,COLORADO 4WD,4WD,PICKUP TRUCK - SMALL,3.7,5,A4,A,4,X,14.5,10.6,12.7,22,292
2010,CHEVROLET,GM,COLORADO 4WD,4WD,PICKUP TRUCK - SMALL,5.3,8,A4,A,4,X,17,12.2,14.9,19,343
2014,CHRYSLER,FCA,200 CONVERTIBLE FFV,2WD,COMPACT,3.6,6,A6,A,6,E,17,11.2,14.4,20,230
2010,CHEVROLET,GM,COLORADO CHASSIS CAB 4WD,4WD,PICKUP TRUCK - SMALL,3.7,5,A4,A,4,X,14.9,11,13.1,22,301
2012,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,X,12.5,8.1,10.5,27,242
2012,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,AS6,A,6,E,17,11.2,14.4,20,230
2015,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,X,10.2,6.4,8.5,33,196
2015,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,E,13.6,8.5,11.3,25,181
2010,CHEVROLET,GM,COLORADO CREW CAB 4WD,4WD,PICKUP TRUCK - SMALL,3.7,5,A4,A,4,X,14.9,11,13.1,22,301
2010,CHEVROLET,GM,COLORADO CREW CAB 4WD,4WD,PICKUP TRUCK - SMALL,5.3,8,A4,A,4,X,17,12.2,14.9,19,343
2015,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,A9,A,9,X,12.4,7.5,10.2,28,235
2015,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,A9,A,9,E,16.5,10.1,13.6,21,218
2016,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,X,10.2,6.4,8.5,33,198
2016,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,E,13.6,8.5,11.3,25,186
2016,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,A9,A,9,X,12.4,7.5,10.2,28,239
2016,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,A9,A,9,E,16.5,10.1,13.6,21,225
2010,CHEVROLET,GM,EQUINOX AWD,AWD,SUV - SMALL,2.4,4,A6,A,6,X,11.5,8.2,10,28,230
2010,CHEVROLET,GM,EQUINOX AWD,AWD,SUV - SMALL,3,6,A6,A,6,X,13.8,9.9,12.1,23,278
2017,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,X,10.2,6.6,8.6,33,201
2017,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,2.4,4,A9,A,9,E,13.9,8.9,11.7,24,192
2017,CHRYSLER,FCA,200 FFV,2WD,MID-SIZE,3.6,6,A9,A,9,X,12.4,7.6,10.2,28,241
